172	141	172	169.85	0.22	153	153
171	140	170	168.71	2.03	143	153
169	139	169	167.40	0.20	153	153
170	140	169	167.87	2.02	143	153
169	139	169	167.32	0.20	153	153
169	139	169	167.26	0.02	153	153
170	140	169	167.86	2.01	143	153
169	138	169	166.98	0.20	153	153
169	139	169	167.23	0.02	153	153
169	139	169	167.25	0.00	153	153
169	139	169	167.25	0.00	153	153
169	139	169	167.25	0.00	153	153
168	138	168	166.34	0.00	153	153
169	138	168	166.53	2.01	143	153
167	137	167	165.35	0.20	153	153
168	138	167	165.84	2.02	143	153
166	136	165	164.05	2.21	143	153
165	136	165	163.57	0.22	153	153
165	135	165	163.23	0.02	153	153
163	133	163	161.36	0.00	153	153
160	130	160	158.42	0.00	153	153
159	129	159	157.21	0.00	153	153
156	126	155	154.03	2.01	142	152
154	125	154	152.49	0.20	153	153
152	123	152	150.50	0.02	153	153
149	120	148	147.22	2.01	128	136
147	118	146	145.05	2.21	141	150
143	114	143	141.48	0.22	115	115
142	112	142	139.89	0.02	138	138
141	111	141	138.81	0.00	153	153
138	109	138	136.25	0.00	139	139
136	106	136	133.83	0.00	125	125
135	105	135	132.66	0.00	148	148
132	103	132	130.08	0.00	123	123
132	102	133	129.79	-2.03	153	143
132	102	132	129.48	-0.20	153	153
129	99	129	126.66	-0.02	114	114
129	98	128	125.73	2.03	124	132
126	96	126	123.50	0.20	105	105
126	96	127	123.56	-2.01	149	140
126	96	126	123.29	-0.20	153	153
125	95	124	122.02	2.01	143	153
125	95	125	122.20	0.20	153	153
123	93	123	120.36	0.02	132	132
122	92	122	119.24	0.00	133	133
123	92	122	119.41	2.04	143	153
123	93	123	120.08	0.20	153	153
121	92	121	118.61	0.02	141	141
122	92	121	118.76	2.03	143	153
120	91	120	117.55	0.20	147	147
121	92	121	118.36	0.02	153	153
120	91	120	117.51	0.00	153	153
121	92	121	118.35	0.00	153	153
122	92	121	118.73	2.03	143	153
120	91	120	117.54	0.20	147	147
121	92	121	118.36	0.02	153	153
120	91	120	117.51	0.00	153	153
121	92	121	118.35	0.00	153	153
122	92	122	119.04	0.00	153	153
120	91	120	117.58	0.00	139	139
119	89	119	116.16	0.00	125	125
120	91	120	117.29	0.00	153	153
119	89	119	116.14	0.00	146	146
120	89	119	116.30	2.04	143	153
120	90	119	116.66	2.24	143	153
118	89	118	115.47	0.22	144	144
119	89	119	115.95	0.02	153	153
119	89	118	115.69	2.04	143	153
119	89	119	115.98	0.20	153	153
120	90	120	116.94	0.02	153	153
118	87	119	115.07	-2.05	122	115
118	89	118	115.31	-0.20	153	153
118	87	118	114.64	-0.02	153	153
119	88	119	115.51	-0.00	153	153
118	87	118	114.66	-0.00	153	153
118	87	118	114.58	-0.00	153	153
117	87	117	113.99	-0.00	153	153
118	87	117	114.22	2.04	143	153
116	87	116	113.36	0.20	150	150
117	87	117	113.87	0.02	153	153
116	86	116	112.99	0.00	149	149
117	87	117	113.84	0.00	153	153
118	89	118	115.19	0.00	153	153
